# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 1074
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Tue Mar 15 15:17:22 EDT 2016
# Player 1: Player-0, 'WeightTest6', running on localhost
# Player 2: Player-1, 'JianHua-test', running on localhost
START Player-0 WeightTest6
START Player-1 JianHua-test
PIT 0 6
PIT 1 22
PIT 0 5
PIT 1 21
PIT 0 15
PIT 1 18
PIT 0 1
PIT 1 2
PIT 0 12
PIT 1 21
PIT 0 15
PIT 1 23
PIT 0 19
PIT 1 27
PIT 0 2
PIT 1 28
PIT 0 22
PIT 1 19
PIT 0 20
PIT 1 20
PIT 0 5
PIT 1 22
PIT 0 26
PIT 1 24
PIT 0 30
PIT 1 29
PIT 0 29
PIT 1 26
PIT 0 27
