# Server version 0.08 running on asavpn23444.vpn.mcgill.ca:8123
# Game ID: 46
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Feb 17 20:10:19 EST 2016
# Player 1: Player-0, 'JianHua', running on localhost
# Player 2: Player-1, 'RandomHusPlayer', running on localhost
START Player-0 JianHua
START Player-1 RandomHusPlayer
PIT 0 23
PIT 1 20
PIT 0 22
PIT 1 13
PIT 0 19
PIT 1 17
PIT 0 15
PIT 1 14
PIT 0 29
PIT 1 2
PIT 0 23
PIT 1 3
PIT 0 27
PIT 1 5
PIT 0 25
PIT 1 0
PIT 0 30
PIT 1 1
PIT 0 14
PIT 1 24
PIT 0 19
PIT 1 13
PIT 0 24
PIT 1 14
PIT 0 26
PIT 1 2
PIT 0 28
PIT 1 3
PIT 0 31
PIT 1 4
PIT 0 26
PIT 1 5
PIT 0 30
PIT 1 6
PIT 0 31
PIT 1 13
PIT 0 29
PIT 1 14
PIT 0 31
PIT 1 15
PIT 0 23
PIT 1 16
PIT 0 27
GAMEOVER WINNER 0
# Game ended: Wed Feb 17 20:10:19 EST 2016
