# Server version 0.08 running on asavpn232179.vpn.mcgill.ca:8123
# Game ID: 399
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Fri Feb 26 23:57:00 EST 2016
# Player 1: Player-0, 'JianHua-test', running on localhost
# Player 2: Player-1, 'WeightTest1', running on localhost
START Player-0 JianHua-test
START Player-1 WeightTest1
PIT 0 0
PIT 1 20
PIT 0 7
PIT 1 6
PIT 0 21
PIT 1 0
PIT 0 15
PIT 1 4
PIT 0 6
PIT 1 1
PIT 0 13
PIT 1 21
PIT 0 22
PIT 1 19
PIT 0 19
PIT 1 24
PIT 0 17
PIT 1 15
PIT 0 22
PIT 1 3
PIT 0 25
PIT 1 5
PIT 0 24
PIT 1 26
PIT 0 17
GAMEOVER WINNER 0
# Game ended: Fri Feb 26 23:57:02 EST 2016
