# Server version 0.08 running on asavpn232167.vpn.mcgill.ca:8123
# Game ID: 929
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Fri Mar 04 23:20:15 EST 2016
# Player 1: Player-0, 'IterativeDeepening', running on localhost
# Player 2: Player-1, 'JianHua-AlphaBeta', running on localhost
START Player-0 IterativeDeepening
START Player-1 JianHua-AlphaBeta
PIT 0 0
PIT 1 1
PIT 0 1
PIT 1 20
PIT 0 3
PIT 1 16
PIT 0 5
PIT 1 10
PIT 0 8
PIT 1 22
PIT 0 11
PIT 1 25
PIT 0 21
PIT 1 2
PIT 0 22
PIT 1 29
PIT 0 23
PIT 1 10
GAMEOVER WINNER 1
# Game ended: Fri Mar 04 23:20:19 EST 2016
