# Server version 0.08 running on wpa079127.wireless.mcgill.ca:8123
# Game ID: 12
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Feb 15 14:31:51 EST 2016
# Player 1: Player-0, 'xxxxxxxxx', running on wpa079127.wireless.mcgill.ca
# Player 2: Player-1, 'RandomHusPlayer', running on wpa079127.wireless.mcgill.ca
START Player-0 xxxxxxxxx
START Player-1 RandomHusPlayer
PIT 0 23
PIT 1 3
PIT 0 19
PIT 1 19
PIT 0 24
PIT 1 18
PIT 0 18
PIT 1 20
PIT 0 12
PIT 1 4
PIT 0 20
PIT 1 13
PIT 0 27
PIT 1 0
PIT 0 31
PIT 1 6
PIT 0 30
PIT 1 1
PIT 0 29
PIT 1 3
PIT 0 31
PIT 1 10
PIT 0 28
PIT 1 6
PIT 0 22
PIT 1 11
PIT 0 31
GAMEOVER WINNER 0
# Game ended: Mon Feb 15 14:31:51 EST 2016
