# Server version 0.08 running on asavpn232167.vpn.mcgill.ca:8123
# Game ID: 903
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Fri Mar 04 22:45:51 EST 2016
# Player 1: Player-0, 'IterativeDeepening', running on localhost
# Player 2: Player-1, 'JianHua-AlphaBeta', running on localhost
START Player-0 IterativeDeepening
START Player-1 JianHua-AlphaBeta
PIT 0 17
PIT 1 0
PIT 0 4
PIT 1 22
PIT 0 8
PIT 1 26
PIT 0 13
PIT 1 12
PIT 0 5
PIT 1 17
PIT 0 0
PIT 1 29
PIT 0 3
PIT 1 21
PIT 0 5
PIT 1 9
PIT 0 10
PIT 1 27
PIT 0 11
PIT 1 26
PIT 0 12
PIT 1 9
PIT 0 13
PIT 1 31
PIT 0 4
PIT 1 4
PIT 0 8
PIT 1 20
PIT 0 1
PIT 1 8
PIT 0 14
PIT 1 14
PIT 0 15
PIT 1 2
PIT 0 16
PIT 1 22
PIT 0 17
PIT 1 11
PIT 0 9
PIT 1 20
PIT 0 10
PIT 1 18
PIT 0 11
PIT 1 5
GAMEOVER WINNER 1
# Game ended: Fri Mar 04 22:45:54 EST 2016
