# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 502
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sun Feb 28 22:53:05 EST 2016
# Player 1: Player-0, 'WeightTest', running on localhost
# Player 2: Player-1, 'JianHua-test', running on localhost
START Player-0 WeightTest
START Player-1 JianHua-test
PIT 0 0
PIT 1 20
PIT 0 7
PIT 1 1
PIT 0 13
PIT 1 21
PIT 0 15
PIT 1 8
PIT 0 1
PIT 1 23
PIT 0 3
PIT 1 25
PIT 0 5
PIT 1 17
PIT 0 6
PIT 1 10
PIT 0 10
PIT 1 0
PIT 0 11
PIT 1 21
PIT 0 24
PIT 1 25
PIT 0 13
PIT 1 20
PIT 0 7
PIT 1 27
PIT 0 12
PIT 1 25
PIT 0 14
PIT 1 28
GAMEOVER WINNER 1
# Game ended: Sun Feb 28 22:53:15 EST 2016
