# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 272
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sat Feb 20 14:44:51 EST 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on localhost
# Player 2: Player-1, 'JianHua-test', running on localhost
START Player-0 JianHua-AlphaBeta
START Player-1 JianHua-test
PIT 0 22
PIT 1 22
PIT 0 4
PIT 1 19
PIT 0 13
PIT 1 21
PIT 0 14
PIT 1 24
PIT 0 17
PIT 1 16
PIT 0 21
PIT 1 17
PIT 0 19
PIT 1 30
PIT 0 20
PIT 1 18
PIT 0 26
PIT 1 19
PIT 0 25
PIT 1 24
PIT 0 27
PIT 1 8
PIT 0 30
PIT 1 20
PIT 0 29
PIT 1 11
PIT 0 23
PIT 1 12
PIT 0 2
PIT 1 18
PIT 0 4
PIT 1 20
PIT 0 30
PIT 1 17
PIT 0 8
PIT 1 4
PIT 0 31
PIT 1 21
PIT 0 10
PIT 1 18
PIT 0 12
PIT 1 20
PIT 0 15
PIT 1 19
PIT 0 16
PIT 1 21
PIT 0 17
PIT 1 28
PIT 0 18
PIT 1 1
PIT 0 19
PIT 1 30
PIT 0 20
PIT 1 29
PIT 0 21
PIT 1 28
GAMEOVER WINNER 1
# Game ended: Sat Feb 20 14:45:01 EST 2016
