# Server version 0.08 running on wpa079127.wireless.mcgill.ca:8123
# Game ID: 21
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Feb 15 14:43:36 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on wpa079127.wireless.mcgill.ca
# Player 2: Player-1, 'JianHua', running on wpa079127.wireless.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 JianHua
PIT 0 3
PIT 1 23
PIT 0 7
PIT 1 19
PIT 0 15
PIT 1 21
PIT 0 19
PIT 1 23
PIT 0 13
PIT 1 22
PIT 0 21
PIT 1 16
PIT 0 4
PIT 1 15
PIT 0 23
PIT 1 17
PIT 0 27
PIT 1 20
PIT 0 14
PIT 1 25
PIT 0 29
PIT 1 31
PIT 0 3
PIT 1 30
PIT 0 4
PIT 1 29
PIT 0 25
PIT 1 18
PIT 0 1
PIT 1 27
PIT 0 9
PIT 1 12
PIT 0 12
PIT 1 15
PIT 0 13
PIT 1 28
PIT 0 0
PIT 1 31
PIT 0 14
PIT 1 17
GAMEOVER WINNER 1
# Game ended: Mon Feb 15 14:43:36 EST 2016
