# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 575
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Mon Feb 29 12:04:24 EST 2016
# Player 1: Player-0, 'JianHua-test', running on localhost
# Player 2: Player-1, 'WeightTest', running on localhost
START Player-0 JianHua-test
START Player-1 WeightTest
PIT 0 0
PIT 1 20
PIT 0 7
PIT 1 1
PIT 0 13
PIT 1 21
PIT 0 15
PIT 1 8
PIT 0 18
PIT 1 7
PIT 0 19
PIT 1 20
PIT 0 26
PIT 1 4
PIT 0 22
PIT 1 24
PIT 0 16
PIT 1 2
PIT 0 24
PIT 1 7
PIT 0 31
PIT 1 14
PIT 0 14
PIT 1 16
PIT 0 18
PIT 1 17
PIT 0 30
PIT 1 18
PIT 0 15
PIT 1 19
PIT 0 20
PIT 1 27
PIT 0 22
GAMEOVER WINNER 0
# Game ended: Mon Feb 29 12:04:29 EST 2016
